ID,Title,Category,Release_Date,Rating,Duration,Country,Data_Quality_Notes
2387,Inception,Tv Show,2018-07-20,PG,2 Seasons,U.S.A,Rating values inconsistent
2388,Unknown Title,Unknown,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
2389,Avatar,Unknown,,NR,,India,"Cleaned missing values, standardized text & formats"
2390,Inception,Film,,PG-13,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
2391,Inception,Tv Show,,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
2392,The Dark Knight,Unknown,2018-07-20,PG-13,120 min,Uk,"Cleaned missing values, standardized text & formats"
2393,Unknown Title,Tv Show,,NR,,Unknown,"Cleaned missing values, standardized text & formats"
2394,Jaws,Tv Show,2019-01-01,R,90 min,United States,Invalid date format
2395,Interstellar,Tv Show,,PG-13,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
2396,Titanic,Unknown,2019-01-01,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
2397,Titanic,Unknown,,NOT RATED,,Unknown,"Cleaned missing values, standardized text & formats"
2398,Avatar,Tv Show,,PG-13,120 min,Unknown,"Cleaned missing values, standardized text & formats"
2399,Avatar,Film,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2400,Titanic,Tv Show,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
2401,Interstellar,Unknown,,PG-13,90 min,United States,"Cleaned missing values, standardized text & formats"
2402,Titanic,Unknown,2019-01-01,NR,90 min,India,"Cleaned missing values, standardized text & formats"
2403,Jaws,Film,,R,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
2404,Interstellar,Tv Show,2019-01-01,NR,90 min,United States,Invalid date format
2405,Avatar,Movie,,R,,United States,"Cleaned missing values, standardized text & formats"
2406,The Matrix,Movie,2019-01-01,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
2407,The Dark Knight,Film,,NR,,Uk,"Cleaned missing values, standardized text & formats"
2408,Jaws,Tv Show,2019-01-01,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
2409,Jaws,Tv Show,,NOT RATED,120 min,Unknown,"Cleaned missing values, standardized text & formats"
2410,Unknown Title,Tv Show,2019-01-01,PG,,India,"Cleaned missing values, standardized text & formats"
2411,Avatar,Unknown,,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
2412,Avatar,Movie,,PG,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
2413,Inception,Film,2019-01-01,NOT RATED,,United States,"Cleaned missing values, standardized text & formats"
2414,Jaws,Movie,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2415,Inception,Movie,,R,,United States,"Cleaned missing values, standardized text & formats"
2416,Inception,Film,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2417,The Dark Knight,Tv Show,,PG,1 Season,United States,"Cleaned missing values, standardized text & formats"
2418,Inception,Film,,PG,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
2419,Interstellar,Movie,2018-07-20,PG,120 min,U.S.A,Invalid date format
2420,Titanic,Unknown,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
2421,The Matrix,Unknown,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2422,Avatar,Unknown,2019-01-01,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2423,Interstellar,Tv Show,2019-01-01,R,1 Season,Uk,Rating values inconsistent
2424,The Matrix,Movie,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
2425,Jaws,Film,2018-07-20,NR,120 min,United States,Invalid date format
2426,Jaws,Unknown,2019-01-01,NR,120 min,India,"Cleaned missing values, standardized text & formats"
2427,Jaws,Film,,R,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
2428,Interstellar,Unknown,,NOT RATED,,Unknown,"Cleaned missing values, standardized text & formats"
2429,Interstellar,Tv Show,2019-01-01,PG-13,1 Season,United States,Invalid date format
2430,Avatar,Movie,,R,90 min,United States,"Cleaned missing values, standardized text & formats"
2431,Titanic,Movie,,PG,,India,"Cleaned missing values, standardized text & formats"
2432,Unknown Title,Unknown,,PG-13,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2433,Inception,Tv Show,2018-07-20,PG,2 Seasons,India,Invalid date format
2434,Jaws,Tv Show,,NR,1 Season,Uk,"Cleaned missing values, standardized text & formats"
2435,The Dark Knight,Film,2018-07-20,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
2436,Titanic,Film,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
2437,The Dark Knight,Movie,2018-07-20,NR,90 min,India,Invalid date format
2438,Avatar,Tv Show,,R,120 min,Uk,"Cleaned missing values, standardized text & formats"
2439,Avatar,Movie,,PG,,United States,"Cleaned missing values, standardized text & formats"
2440,Avatar,Unknown,,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
2441,The Matrix,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
2442,The Dark Knight,Movie,,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2443,Titanic,Film,2019-01-01,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
2444,Unknown Title,Movie,,NR,1 Season,India,"Cleaned missing values, standardized text & formats"
2445,Titanic,Movie,,PG,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
2446,Interstellar,Tv Show,2018-07-20,PG,,India,"Cleaned missing values, standardized text & formats"
2447,Interstellar,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
2448,Jaws,Unknown,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
2449,Unknown Title,Unknown,,NOT RATED,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
2450,Interstellar,Unknown,2019-01-01,NR,,Uk,"Cleaned missing values, standardized text & formats"
2451,Avatar,Film,2018-07-20,PG-13,1 Season,United States,Data looks clean
2452,Titanic,Movie,2018-07-20,PG,1 Season,India,Data looks clean
2453,The Dark Knight,Tv Show,,PG-13,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
2454,Avatar,Movie,,R,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
2455,The Matrix,Film,2019-01-01,PG,,Uk,"Cleaned missing values, standardized text & formats"
2456,Interstellar,Movie,,PG-13,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
2457,Avatar,Film,,R,1 Season,India,"Cleaned missing values, standardized text & formats"
2458,Avatar,Unknown,2018-07-20,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
2459,The Matrix,Movie,2018-07-20,NR,90 min,Uk,Data looks clean
2460,Inception,Unknown,,PG,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
2461,Titanic,Tv Show,2019-01-01,NR,,India,"Cleaned missing values, standardized text & formats"
2462,The Dark Knight,Film,2018-07-20,R,2 Seasons,U.S.A,Country naming inconsistent
2463,Jaws,Film,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2464,Inception,Tv Show,2019-01-01,NR,90 min,U.S.A,Invalid date format
2465,Interstellar,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
2466,Avatar,Movie,2019-01-01,R,1 Season,U.S.A,Invalid date format
2467,Unknown Title,Movie,,NR,,Unknown,"Cleaned missing values, standardized text & formats"
2468,The Matrix,Tv Show,2019-01-01,PG-13,2 Seasons,India,Invalid date format
2469,The Matrix,Tv Show,,R,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2470,Unknown Title,Movie,,PG,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
2471,Titanic,Unknown,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
2472,Inception,Movie,,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
2473,Jaws,Film,,NR,120 min,Uk,"Cleaned missing values, standardized text & formats"
2474,Titanic,Unknown,,PG-13,,United States,"Cleaned missing values, standardized text & formats"
2475,Unknown Title,Tv Show,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
2476,Avatar,Movie,,R,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2477,Unknown Title,Tv Show,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
2478,Titanic,Unknown,2018-07-20,NOT RATED,120 min,United States,"Cleaned missing values, standardized text & formats"
2479,The Dark Knight,Movie,2018-07-20,NR,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2480,The Matrix,Movie,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
2481,The Matrix,Tv Show,2019-01-01,PG,1 Season,Uk,Invalid date format
2482,Interstellar,Film,2019-01-01,PG-13,90 min,U.S.A,Rating values inconsistent
2483,Interstellar,Movie,2018-07-20,PG,90 min,India,Country naming inconsistent
2484,Unknown Title,Movie,,PG,120 min,United States,"Cleaned missing values, standardized text & formats"
2485,Jaws,Tv Show,,PG,1 Season,Uk,"Cleaned missing values, standardized text & formats"
2486,Avatar,Film,2019-01-01,NOT RATED,1 Season,India,Invalid date format
2487,The Dark Knight,Tv Show,2019-01-01,NOT RATED,1 Season,India,Country naming inconsistent
2488,Inception,Unknown,,R,,India,"Cleaned missing values, standardized text & formats"
2489,Titanic,Film,2018-07-20,NOT RATED,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
2490,Jaws,Movie,,NOT RATED,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2491,Avatar,Movie,,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
2492,Interstellar,Movie,2019-01-01,R,,Unknown,"Cleaned missing values, standardized text & formats"
2493,Unknown Title,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
2494,Titanic,Movie,2018-07-20,PG-13,2 Seasons,India,Invalid date format
2495,Interstellar,Film,2018-07-20,PG-13,1 Season,India,Country naming inconsistent
2496,Unknown Title,Movie,,R,120 min,Unknown,"Cleaned missing values, standardized text & formats"
2497,Titanic,Tv Show,2019-01-01,R,2 Seasons,India,Invalid date format
2498,Inception,Tv Show,,NOT RATED,120 min,India,"Cleaned missing values, standardized text & formats"
2499,Avatar,Tv Show,,PG-13,,Unknown,"Cleaned missing values, standardized text & formats"
2500,Titanic,Film,,NR,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2501,The Dark Knight,Tv Show,2018-07-20,PG,,United States,"Cleaned missing values, standardized text & formats"
2502,Jaws,Movie,,NOT RATED,,Unknown,"Cleaned missing values, standardized text & formats"
2503,The Matrix,Tv Show,2018-07-20,PG,,India,"Cleaned missing values, standardized text & formats"
2504,The Dark Knight,Movie,2018-07-20,PG-13,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
2505,The Dark Knight,Unknown,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
2506,Jaws,Movie,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2507,The Matrix,Unknown,2019-01-01,NR,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2508,The Dark Knight,Movie,,PG,,United States,"Cleaned missing values, standardized text & formats"
2509,Titanic,Film,2019-01-01,R,1 Season,India,Invalid date format
2510,Titanic,Movie,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
2511,Titanic,Film,,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
2512,The Matrix,Film,,R,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2513,The Dark Knight,Tv Show,,R,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
2514,Unknown Title,Movie,2019-01-01,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
2515,The Matrix,Unknown,2018-07-20,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2516,Titanic,Tv Show,,R,,Uk,"Cleaned missing values, standardized text & formats"
2517,Jaws,Tv Show,2019-01-01,NOT RATED,,U.S.A,"Cleaned missing values, standardized text & formats"
2518,The Dark Knight,Film,2019-01-01,PG-13,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2519,The Dark Knight,Film,2018-07-20,PG,,Unknown,"Cleaned missing values, standardized text & formats"
2520,Interstellar,Unknown,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
2521,Interstellar,Movie,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
2522,Inception,Movie,2018-07-20,R,120 min,India,Invalid date format
2523,Unknown Title,Tv Show,2018-07-20,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2524,Unknown Title,Tv Show,,NOT RATED,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2525,Avatar,Tv Show,,NR,120 min,India,"Cleaned missing values, standardized text & formats"
2526,Unknown Title,Movie,2018-07-20,R,90 min,United States,"Cleaned missing values, standardized text & formats"
2527,Interstellar,Tv Show,,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
2528,The Matrix,Movie,,PG-13,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2529,Unknown Title,Film,,NOT RATED,1 Season,Uk,"Cleaned missing values, standardized text & formats"
2530,Interstellar,Tv Show,2019-01-01,R,,United States,"Cleaned missing values, standardized text & formats"
2531,Inception,Movie,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
2532,The Dark Knight,Tv Show,2019-01-01,PG,1 Season,India,Invalid date format
2533,Unknown Title,Movie,,R,,Unknown,"Cleaned missing values, standardized text & formats"
2534,Inception,Movie,2018-07-20,PG,120 min,India,Invalid date format
2535,The Dark Knight,Tv Show,2018-07-20,R,90 min,India,Rating values inconsistent
2536,Jaws,Unknown,,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2537,Jaws,Movie,,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2538,The Dark Knight,Tv Show,,R,2 Seasons,United States,"Cleaned missing values, standardized text & formats"
2539,Unknown Title,Tv Show,,R,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2540,Avatar,Movie,2019-01-01,PG,2 Seasons,Uk,Invalid date format
2541,Interstellar,Movie,2018-07-20,PG,120 min,Unknown,"Cleaned missing values, standardized text & formats"
2542,The Matrix,Unknown,2018-07-20,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2543,The Matrix,Tv Show,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2544,Titanic,Movie,,PG,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
2545,The Dark Knight,Movie,,NR,120 min,India,"Cleaned missing values, standardized text & formats"
2546,The Matrix,Unknown,,PG-13,90 min,Uk,"Cleaned missing values, standardized text & formats"
2547,Unknown Title,Unknown,2019-01-01,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
2548,Avatar,Tv Show,,NOT RATED,1 Season,India,"Cleaned missing values, standardized text & formats"
2549,The Dark Knight,Unknown,,R,120 min,India,"Cleaned missing values, standardized text & formats"
2550,Avatar,Movie,,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2551,Unknown Title,Tv Show,,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
2552,The Matrix,Tv Show,,NR,120 min,Uk,"Cleaned missing values, standardized text & formats"
2553,The Matrix,Movie,,PG,,India,"Cleaned missing values, standardized text & formats"
2554,Titanic,Movie,2019-01-01,NOT RATED,120 min,U.S.A,Invalid date format
2555,The Matrix,Movie,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
2556,The Dark Knight,Tv Show,2018-07-20,NR,,United States,"Cleaned missing values, standardized text & formats"
2557,Unknown Title,Unknown,2019-01-01,R,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
2558,Jaws,Movie,2018-07-20,NR,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
2559,Unknown Title,Film,2019-01-01,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2560,The Dark Knight,Tv Show,,NR,90 min,Uk,"Cleaned missing values, standardized text & formats"
2561,The Dark Knight,Movie,,PG,120 min,India,"Cleaned missing values, standardized text & formats"
2562,Titanic,Tv Show,,PG,,United States,"Cleaned missing values, standardized text & formats"
2563,Titanic,Tv Show,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
2564,The Matrix,Unknown,,NR,,Uk,"Cleaned missing values, standardized text & formats"
2565,Inception,Unknown,2019-01-01,R,90 min,United States,"Cleaned missing values, standardized text & formats"
2566,Unknown Title,Tv Show,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
2567,Unknown Title,Movie,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
2568,Inception,Movie,2018-07-20,PG,,India,"Cleaned missing values, standardized text & formats"
2569,Titanic,Film,,PG-13,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
2570,The Matrix,Film,2019-01-01,NR,90 min,India,Invalid date format
2571,Inception,Unknown,,R,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
2572,The Matrix,Film,2018-07-20,PG-13,120 min,United States,Invalid date format
2573,The Matrix,Movie,,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2574,The Matrix,Film,2018-07-20,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2575,Interstellar,Movie,2018-07-20,NR,,India,"Cleaned missing values, standardized text & formats"
2576,The Dark Knight,Film,,NOT RATED,1 Season,Uk,"Cleaned missing values, standardized text & formats"
2577,The Matrix,Unknown,,R,,U.S.A,"Cleaned missing values, standardized text & formats"
2578,Interstellar,Unknown,2019-01-01,PG,,Uk,"Cleaned missing values, standardized text & formats"
2579,Titanic,Movie,2019-01-01,PG-13,2 Seasons,India,Rating values inconsistent
2580,Inception,Tv Show,2018-07-20,PG,90 min,Uk,Country naming inconsistent
2581,The Dark Knight,Unknown,2018-07-20,PG-13,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2582,Jaws,Tv Show,,NOT RATED,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2583,Inception,Movie,,PG-13,90 min,United States,"Cleaned missing values, standardized text & formats"
2584,The Dark Knight,Movie,2018-07-20,R,90 min,U.S.A,Invalid date format
2585,Jaws,Unknown,,PG,,Unknown,"Cleaned missing values, standardized text & formats"
2586,Inception,Tv Show,,NR,90 min,United States,"Cleaned missing values, standardized text & formats"
2587,The Dark Knight,Movie,2019-01-01,R,1 Season,U.S.A,Invalid date format
2588,Inception,Tv Show,,NOT RATED,,Unknown,"Cleaned missing values, standardized text & formats"
2589,Inception,Unknown,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
2590,Jaws,Movie,,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
2591,Inception,Film,2018-07-20,NOT RATED,120 min,United States,Invalid date format
2592,Inception,Tv Show,,PG-13,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
2593,Jaws,Tv Show,2019-01-01,PG,120 min,U.S.A,Invalid date format
2594,Titanic,Movie,2018-07-20,R,120 min,Uk,Rating values inconsistent
2595,The Matrix,Movie,2018-07-20,NOT RATED,,Unknown,"Cleaned missing values, standardized text & formats"
2596,Unknown Title,Tv Show,,R,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2597,Avatar,Movie,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2598,Interstellar,Unknown,2019-01-01,PG-13,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2599,Avatar,Film,2018-07-20,R,120 min,Unknown,"Cleaned missing values, standardized text & formats"
2600,Avatar,Movie,,PG,90 min,India,"Cleaned missing values, standardized text & formats"
2601,The Dark Knight,Movie,2019-01-01,NOT RATED,1 Season,India,Invalid date format
2602,The Matrix,Tv Show,,NR,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
2603,The Dark Knight,Unknown,2018-07-20,PG,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2604,The Matrix,Unknown,2018-07-20,PG-13,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2605,Jaws,Movie,2018-07-20,NR,90 min,U.S.A,Country naming inconsistent
2606,Jaws,Unknown,2019-01-01,NR,90 min,United States,"Cleaned missing values, standardized text & formats"
2607,Unknown Title,Tv Show,2019-01-01,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2608,The Matrix,Movie,2019-01-01,NOT RATED,90 min,India,Country naming inconsistent
2609,Inception,Movie,2019-01-01,PG,1 Season,India,Country naming inconsistent
2610,Titanic,Unknown,,NR,90 min,India,"Cleaned missing values, standardized text & formats"
2611,Unknown Title,Unknown,,PG,1 Season,Uk,"Cleaned missing values, standardized text & formats"
2612,Unknown Title,Tv Show,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
2613,Inception,Film,2018-07-20,PG-13,90 min,India,Invalid date format
2614,Titanic,Film,,R,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2615,The Dark Knight,Unknown,,R,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
2616,Titanic,Movie,2019-01-01,PG,120 min,India,Invalid date format
2617,The Dark Knight,Movie,,NOT RATED,90 min,India,"Cleaned missing values, standardized text & formats"
2618,Jaws,Unknown,,NOT RATED,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2619,Avatar,Tv Show,2018-07-20,NR,90 min,Uk,Invalid date format
2620,Jaws,Movie,2019-01-01,PG,1 Season,U.S.A,Data looks clean
2621,Jaws,Film,,PG-13,90 min,India,"Cleaned missing values, standardized text & formats"
2622,Avatar,Unknown,2018-07-20,PG-13,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
2623,Titanic,Tv Show,2019-01-01,R,120 min,U.S.A,Country naming inconsistent
2624,Unknown Title,Tv Show,,PG-13,90 min,United States,"Cleaned missing values, standardized text & formats"
2625,Titanic,Unknown,2018-07-20,NR,90 min,Uk,"Cleaned missing values, standardized text & formats"
2626,The Dark Knight,Movie,,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
2627,Inception,Tv Show,2019-01-01,PG-13,90 min,Uk,Invalid date format
2628,The Dark Knight,Unknown,,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
2629,Inception,Movie,,NR,120 min,United States,"Cleaned missing values, standardized text & formats"
2630,Jaws,Tv Show,,PG-13,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2631,Avatar,Movie,,NOT RATED,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
2632,Jaws,Movie,,PG-13,90 min,U.S.A,"Cleaned missing values, standardized text & formats"
2633,The Matrix,Tv Show,2019-01-01,NOT RATED,,Unknown,"Cleaned missing values, standardized text & formats"
2634,Titanic,Tv Show,2018-07-20,NR,1 Season,Unknown,"Cleaned missing values, standardized text & formats"
2635,Inception,Movie,,PG-13,120 min,India,"Cleaned missing values, standardized text & formats"
2636,The Dark Knight,Film,,NOT RATED,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
2637,Avatar,Tv Show,,PG,1 Season,U.S.A,"Cleaned missing values, standardized text & formats"
2638,Inception,Unknown,,R,2 Seasons,Uk,"Cleaned missing values, standardized text & formats"
2639,The Dark Knight,Movie,2019-01-01,NR,120 min,U.S.A,Invalid date format
2640,Titanic,Tv Show,2019-01-01,NOT RATED,,India,"Cleaned missing values, standardized text & formats"
2641,Jaws,Movie,2019-01-01,PG,120 min,Uk,Country naming inconsistent
2642,Titanic,Movie,2019-01-01,PG-13,2 Seasons,India,Rating values inconsistent
2643,Interstellar,Tv Show,2019-01-01,NOT RATED,2 Seasons,U.S.A,Country naming inconsistent
2644,The Matrix,Film,,NOT RATED,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
2645,Interstellar,Tv Show,,NOT RATED,90 min,United States,"Cleaned missing values, standardized text & formats"
2646,Avatar,Tv Show,,R,120 min,India,"Cleaned missing values, standardized text & formats"
2647,Inception,Tv Show,,PG,,India,"Cleaned missing values, standardized text & formats"
2648,Avatar,Movie,2018-07-20,PG,120 min,India,Invalid date format
2649,Jaws,Tv Show,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
2650,The Dark Knight,Movie,,R,90 min,United States,"Cleaned missing values, standardized text & formats"
2651,Titanic,Unknown,,NOT RATED,1 Season,India,"Cleaned missing values, standardized text & formats"
2652,Interstellar,Tv Show,2018-07-20,NR,120 min,India,Invalid date format
2653,Unknown Title,Tv Show,,R,90 min,India,"Cleaned missing values, standardized text & formats"
2654,Interstellar,Movie,2018-07-20,R,1 Season,India,Invalid date format
2655,Jaws,Unknown,,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
2656,Interstellar,Tv Show,,PG,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2657,Jaws,Movie,2018-07-20,PG,90 min,India,Invalid date format
2658,Unknown Title,Film,,R,2 Seasons,U.S.A,"Cleaned missing values, standardized text & formats"
2659,Avatar,Movie,,R,90 min,India,"Cleaned missing values, standardized text & formats"
2660,Titanic,Film,,PG-13,120 min,U.S.A,"Cleaned missing values, standardized text & formats"
2661,Inception,Movie,,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
2662,The Dark Knight,Tv Show,,PG,2 Seasons,Unknown,"Cleaned missing values, standardized text & formats"
2663,Inception,Tv Show,,NOT RATED,90 min,United States,"Cleaned missing values, standardized text & formats"
2664,Avatar,Tv Show,,NR,,India,"Cleaned missing values, standardized text & formats"
2665,The Dark Knight,Movie,,NR,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2666,Interstellar,Movie,,PG,120 min,Uk,"Cleaned missing values, standardized text & formats"
2667,Unknown Title,Movie,,PG,,India,"Cleaned missing values, standardized text & formats"
2668,Unknown Title,Unknown,,NOT RATED,90 min,United States,"Cleaned missing values, standardized text & formats"
2669,The Matrix,Movie,2018-07-20,PG,90 min,Uk,Invalid date format
2670,Avatar,Tv Show,,NR,120 min,Uk,"Cleaned missing values, standardized text & formats"
2671,Avatar,Tv Show,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2672,Titanic,Tv Show,2018-07-20,PG,,U.S.A,"Cleaned missing values, standardized text & formats"
2673,Inception,Film,2018-07-20,PG,120 min,U.S.A,Rating values inconsistent
2674,Avatar,Movie,,NOT RATED,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2675,Avatar,Movie,2018-07-20,PG-13,1 Season,India,Invalid date format
2676,Interstellar,Movie,2018-07-20,NOT RATED,1 Season,Uk,Country naming inconsistent
2677,Interstellar,Tv Show,,R,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2678,The Dark Knight,Film,2018-07-20,R,90 min,U.S.A,Invalid date format
2679,Jaws,Movie,,PG,90 min,United States,"Cleaned missing values, standardized text & formats"
2680,Jaws,Unknown,2019-01-01,PG,1 Season,India,"Cleaned missing values, standardized text & formats"
2681,The Matrix,Tv Show,2019-01-01,PG,90 min,U.S.A,Rating values inconsistent
2682,Jaws,Movie,2019-01-01,R,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2683,Titanic,Tv Show,,PG-13,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2684,The Matrix,Unknown,2019-01-01,PG,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2685,The Dark Knight,Unknown,,R,90 min,Unknown,"Cleaned missing values, standardized text & formats"
2686,Interstellar,Unknown,,PG-13,2 Seasons,India,"Cleaned missing values, standardized text & formats"
2687,Jaws,Movie,,NOT RATED,,Uk,"Cleaned missing values, standardized text & formats"
2688,Inception,Tv Show,,NR,1 Season,India,"Cleaned missing values, standardized text & formats"
2689,Interstellar,Tv Show,2018-07-20,R,,Uk,"Cleaned missing values, standardized text & formats"
2690,Unknown Title,Tv Show,2018-07-20,NR,,India,"Cleaned missing values, standardized text & formats"
2691,Titanic,Unknown,2018-07-20,PG,90 min,Uk,"Cleaned missing values, standardized text & formats"
2692,Interstellar,Tv Show,,NR,90 min,India,"Cleaned missing values, standardized text & formats"
2693,Titanic,Tv Show,,R,,U.S.A,"Cleaned missing values, standardized text & formats"
2694,Titanic,Tv Show,,NR,,United States,"Cleaned missing values, standardized text & formats"
